channel_key,channel_name,channel_number,super_category,genre,description,packages,image_url
SiriusXMPatriot,SiriusXM Patriot,125,Talk,News/Talk,Conservative talk radio,Select+,
POTUS,P.O.T.U.S.,124,Talk,News,Politics and government,Select+,
CNN,CNN,116,Talk,News,CNN news coverage,Select+,
FoxNews,Fox News,205,Talk,News,Fox News coverage,Select+,
Jazz,Real Jazz,67,Music,Jazz,Classic and contemporary jazz,All,
ClassicVinyl,Classic Vinyl,26,Music,Classic Rock,Classic rock from the 60s-80s,All,https://d17waft5a6sywo.cloudfront.net/eyJrZXkiOiJhZW0vOGQvOGQ4Y2M2MmI4NWM4YTQ2YWQ5NmU4YWI3NTZiOGJhYzlfMTY5OTM3NTk2MS5qcGVnIiwiZWRpdHMiOlt7ImZvcm1hdCI6eyJ0eXBlIjoianBlZyJ9fSx7InJlc2l6ZSI6eyJ3aWR0aCI6MzAwLCJoZWlnaHQiOjMwMH19XX0=
Premier1,SiriusXM Premier,1,Music,Pop,Premium curated pop hits,Premier+,https://d17waft5a6sywo.cloudfront.net/eyJrZXkiOiJhZW0vYjgvYjgzZWMyMGI1YmI5NTFmOGNhOTE1N2I0NzI4NjY1YmVfMTcxMTk5NjM2MC5qcGVnIiwiZWRpdHMiOlt7ImZvcm1hdCI6eyJ0eXBlIjoianBlZyJ9fSx7InJlc2l6ZSI6eyJ3aWR0aCI6MzAwLCJoZWlnaHQiOjMwMH19XX0=
PopRocks,Pop Rocks,14,Music,Pop,Pop and rock crossover,All,https://d17waft5a6sywo.cloudfront.net/eyJrZXkiOiJhZW0vNDMvNDMyZDgxYjg2ODkzMzZhZWJiNjE5ZmY4MDYzNDljOGNfMTY5OTM3NTQyMi5qcGVnIiwiZWRpdHMiOlt7ImZvcm1hdCI6eyJ0eXBlIjoianBlZyJ9fSx7InJlc2l6ZSI6eyJ3aWR0aCI6MzAwLCJoZWlnaHQiOjMwMH19XX0=
Venus,Venus,72,Music,Pop,Music by women artists,All,
HipHopNation,Hip-Hop Nation,44,Music,Hip-Hop,Hip-hop and rap,All,https://d17waft5a6sywo.cloudfront.net/eyJrZXkiOiJpZi9kYy9kYzNkMjkzYmIwMzYzY2U3YjY1ZmZlMTdhM2U5MzFkZl8xNzUwMTY4MDg3LmpwZyIsImVkaXRzIjpbeyJmb3JtYXQiOnsidHlwZSI6ImpwZWcifX0seyJyZXNpemUiOnsid2lkdGgiOjMwMCwiaGVpZ2h0IjozMDB9fV19
Chill,Chill,53,Music,Electronic,Chill and ambient electronic,All,https://d17waft5a6sywo.cloudfront.net/eyJrZXkiOiJhZW0vNWEvNWE5NGU4OTk1MjM1MTIyMWM5YTJjNDY0MDBjYmZiMjNfMTcxMjY3NjQ3OC5qcGVnIiwiZWRpdHMiOlt7ImZvcm1hdCI6eyJ0eXBlIjoianBlZyJ9fSx7InJlc2l6ZSI6eyJ3aWR0aCI6MzAwLCJoZWlnaHQiOjMwMH19XX0=
