channel_entity_id,channel_entity_type,channel_name,channel_number,super_category_term,category_term,channel_description,channel_image_url,player_landing_page
1c65ae75-479b-6af7-e1d9-ed789042ade5,channel-linear,80s Pop Hits,8,Music,Pop,80s pop from the MTV era,https://imgsrv-sxm-prod-device.streaming.siriusxm.com/eyJrZXkiOiJhZW0vNDMvNDMyZDgxYjg2ODkzMzZhZWJiNjE5ZmY4MDYzNDljOGNfMTY5OTM3NTQyMi5qcGVnIiwiZWRpdHMiOlt7ImZvcm1hdCI6eyJ0eXBlIjoianBlZyJ9fSx7InJlc2l6ZSI6eyJ3aWR0aCI6NjAwLCJoZWlnaHQiOjYwMH19XX0=,https://www.siriusxm.com/player/channel-linear/entity/1c65ae75-479b-6af7-e1d9-ed789042ade5
2ea07147-a720-ed0c-d4ce-d7bddd1640d3,channel-linear,80s on 8,8,Music,Pop,Pop hits from the MTV era,https://imgsrv-sxm-prod-device.streaming.siriusxm.com/eyJrZXkiOiJhZW0vMDcvMDc1ZGVjOGRlNjhiN2UwNTA1ZjIzYjQ5MjVhMTY4MjJfMTY5OTM3NTg5NS5qcGVnIiwiZWRpdHMiOlt7ImZvcm1hdCI6eyJ0eXBlIjoianBlZyJ9fSx7InJlc2l6ZSI6eyJ3aWR0aCI6NjAwLCJoZWlnaHQiOjYwMH19XX0=,https://www.siriusxm.com/player/channel-linear/entity/2ea07147-a720-ed0c-d4ce-d7bddd1640d3
3b090f91-187f-c80e-28ca-263c83b616c7,channel-linear,90s Pop Hits,9,Music,Pop,Top radio hits of the 90s,https://imgsrv-sxm-prod-device.streaming.siriusxm.com/eyJrZXkiOiJhZW0vMGMvMGMwYWUzZTM1ZjQzNjUyZjM3ZmUzZWUxNDhlMDdlMTdfMTY5OTM3NTM1OS5qcGVnIiwiZWRpdHMiOlt7ImZvcm1hdCI6eyJ0eXBlIjoianBlZyJ9fSx7InJlc2l6ZSI6eyJ3aWR0aCI6NjAwLCJoZWlnaHQiOjYwMH19XX0=,https://www.siriusxm.com/player/channel-linear/entity/3b090f91-187f-c80e-28ca-263c83b616c7
c9256031-1123-f35f-4d49-1ba4d5379258,channel-linear,90s on 9,9,Music,Pop,Pop hits from the 90s,https://imgsrv-sxm-prod-device.streaming.siriusxm.com/eyJrZXkiOiJpZi8yMy8yMzlmYmE4YTg3NzIzM2EwOGE2NzIxOTgzY2MzY2FiZl8xNzUyMTc1Mzc2LmpwZyIsImVkaXRzIjpbeyJmb3JtYXQiOnsidHlwZSI6ImpwZWcifX0seyJyZXNpemUiOnsid2lkdGgiOjYwMCwiaGVpZ2h0Ijo2MDB9fV19,https://www.siriusxm.com/player/channel-linear/entity/c9256031-1123-f35f-4d49-1ba4d5379258
40c3d189-9611-e59f-5808-7847e294642e,channel-linear,Pop2K,10,Music,Pop,2000s pop hits,https://imgsrv-sxm-prod-device.streaming.siriusxm.com/eyJrZXkiOiJpZi82NS82NWQ4YjE1YjFhMWUzZDIwODdlNzNiNDUyNThiNzNhZV8xNzUyMTczOTUzLmpwZyIsImVkaXRzIjpbeyJmb3JtYXQiOnsidHlwZSI6ImpwZWcifX0seyJyZXNpemUiOnsid2lkdGgiOjYwMCwiaGVpZ2h0Ijo2MDB9fV19,https://www.siriusxm.com/player/channel-linear/entity/40c3d189-9611-e59f-5808-7847e294642e
21b6011c-4a0a-427e-9561-3be54b2b40ac,channel-linear,Pop 2000 Hits,10,Music,Pop,Top tracks of the 2K era,https://imgsrv-sxm-prod-device.streaming.siriusxm.com/eyJrZXkiOiJhZW0vMmIvMmI0NTY4ZjY1YTk3ZGEzYzMyM2M5YTRiM2MwODg2ZmVfMTY5OTM3NTczNC5qcGVnIiwiZWRpdHMiOlt7ImZvcm1hdCI6eyJ0eXBlIjoianBlZyJ9fSx7InJlc2l6ZSI6eyJ3aWR0aCI6NjAwLCJoZWlnaHQiOjYwMH19XX0=,https://www.siriusxm.com/player/channel-linear/entity/21b6011c-4a0a-427e-9561-3be54b2b40ac
038e9a9a-4878-7561-521b-5d432a0798a0,channel-linear,The 10s Spot,11,Music,Pop,2010s pop hits,https://imgsrv-sxm-prod-device.streaming.siriusxm.com/eyJrZXkiOiJpZi9hNS9hNTIwMGRjMWUxZmIzYWJjOGI0YzdkMDBjMjYyOWVkZV8xNzYwNzA0ODMxLmpwZyIsImVkaXRzIjpbeyJmb3JtYXQiOnsidHlwZSI6ImpwZWcifX0seyJyZXNpemUiOnsid2lkdGgiOjYwMCwiaGVpZ2h0Ijo2MDB9fV19,https://www.siriusxm.com/player/channel-linear/entity/038e9a9a-4878-7561-521b-5d432a0798a0
dc5d3e2e-4729-7a6b-25f9-fe15dcc352d3,channel-linear,The Kelly Clarkson Connection,12,Music,Pop,Kelly's handpicked faves,https://imgsrv-sxm-prod-device.streaming.siriusxm.com/eyJrZXkiOiJhZW0vMjAvMjBhNDA3MTIzMjFmOWY5MGJmYTBmNWE5OTliYTc2YjBfMTcwMTcyMDA0MC5qcGVnIiwiZWRpdHMiOlt7ImZvcm1hdCI6eyJ0eXBlIjoianBlZyJ9fSx7InJlc2l6ZSI6eyJ3aWR0aCI6NjAwLCJoZWlnaHQiOjYwMH19XX0=,https://www.siriusxm.com/player/channel-linear/entity/dc5d3e2e-4729-7a6b-25f9-fe15dcc352d3
5d71ae5d-5c6e-0430-6fc5-d9ca0c1c34c0,channel-linear,Pitbull's Globalization,13,Music,Pop,Worldwide rhythmic hits,https://imgsrv-sxm-prod-device.streaming.siriusxm.com/eyJrZXkiOiJhZW0vMGQvMGQ0OTE2NjcyYmMyNTAxNzNkM2JhODQ1YTZiMDBhYThfMTY5OTM3NjIyOS5qcGVnIiwiZWRpdHMiOlt7ImZvcm1hdCI6eyJ0eXBlIjoianBlZyJ9fSx7InJlc2l6ZSI6eyJ3aWR0aCI6NjAwLCJoZWlnaHQiOjYwMH19XX0=,https://www.siriusxm.com/player/channel-linear/entity/5d71ae5d-5c6e-0430-6fc5-d9ca0c1c34c0
1898923d-071d-0abd-1a62-ed0d2702d4f1,channel-linear,The Bridge,14,Music,Rock,Mellow classic rock,https://imgsrv-sxm-prod-device.streaming.siriusxm.com/eyJrZXkiOiJhZW0vODEvODEwNjU3MDhmZDBjMjkwOGJmOWI5NDE4YjllMTY4NDBfMTY5OTM3NTc5Ny5qcGVnIiwiZWRpdHMiOlt7ImZvcm1hdCI6eyJ0eXBlIjoianBlZyJ9fSx7InJlc2l6ZSI6eyJ3aWR0aCI6NjAwLCJoZWlnaHQiOjYwMH19XX0=,https://www.siriusxm.com/player/channel-linear/entity/1898923d-071d-0abd-1a62-ed0d2702d4f1
f0de9c7e-f042-cf47-a626-d3971232eeb3,channel-linear,Mellow Rock,14,Music,Rock,Mellow classic rock,https://imgsrv-sxm-prod-device.streaming.siriusxm.com/eyJrZXkiOiJhZW0vYjkvYjlhMGFmYTNlN2ZjNjA3Nzk4YzUzNzc3ZWM1NDY2MGJfMTY5OTM3NTI5Ni5qcGVnIiwiZWRpdHMiOlt7ImZvcm1hdCI6eyJ0eXBlIjoianBlZyJ9fSx7InJlc2l6ZSI6eyJ3aWR0aCI6NjAwLCJoZWlnaHQiOjYwMH19XX0=,https://www.siriusxm.com/player/channel-linear/entity/f0de9c7e-f042-cf47-a626-d3971232eeb3
9150cc82-af5c-3be3-d170-0e81d87375a8,channel-linear,Yacht Rock Radio,15,Music,Pop,70s/80s smooth-sailing soft rock,https://imgsrv-sxm-prod-device.streaming.siriusxm.com/eyJrZXkiOiJpZi85Ni85NjcyYWJkOTkwYTAzOTc5YThmMzZkNDhlZmEwMGFlMF8xNzUzOTc5NTg3LmpwZyIsImVkaXRzIjpbeyJmb3JtYXQiOnsidHlwZSI6ImpwZWcifX0seyJyZXNpemUiOnsid2lkdGgiOjYwMCwiaGVpZ2h0Ijo2MDB9fV19,https://www.siriusxm.com/player/channel-linear/entity/9150cc82-af5c-3be3-d170-0e81d87375a8
bda81f03-f231-d4db-56ad-40cb132c5663,channel-linear,The Blend,16,Music,Pop,Nice & easy 70s & 80s pop,https://imgsrv-sxm-prod-device.streaming.siriusxm.com/eyJrZXkiOiJhZW0vM2UvM2UwMTBkNjE0NTc3ZDQyMDY0YTU3ZDBjZTcyZTAxMThfMTY5OTM3NTYwNC5qcGVnIiwiZWRpdHMiOlt7ImZvcm1hdCI6eyJ0eXBlIjoianBlZyJ9fSx7InJlc2l6ZSI6eyJ3aWR0aCI6NjAwLCJoZWlnaHQiOjYwMH19XX0=,https://www.siriusxm.com/player/channel-linear/entity/bda81f03-f231-d4db-56ad-40cb132c5663
eadde0e4-7769-6757-b7d5-356a802b074e,channel-linear,Pop Mix Bright,16,Music,Pop,Blend of Bright Pop Hits,https://imgsrv-sxm-prod-device.streaming.siriusxm.com/eyJrZXkiOiJhZW0vMTcvMTc0NjZmMjYwZjZlM2IxOGVkMDM3MTE2MTMwZjZjNzJfMTY5OTM3NTcwOS5qcGVnIiwiZWRpdHMiOlt7ImZvcm1hdCI6eyJ0eXBlIjoianBlZyJ9fSx7InJlc2l6ZSI6eyJ3aWR0aCI6NjAwLCJoZWlnaHQiOjYwMH19XX0=,https://www.siriusxm.com/player/channel-linear/entity/eadde0e4-7769-6757-b7d5-356a802b074e
dd042955-b3fa-bf2b-6b64-6f08236ed48f,channel-linear,Acoustic Rock,17,Music,Pop,"Acoustic, stripped-down songs",https://imgsrv-sxm-prod-device.streaming.siriusxm.com/eyJrZXkiOiJhZW0vNjUvNjVjMTZiMjIwZjI4ZTBlMzFkODIzNDBmZTk4MWM1OTVfMTY5OTM3NTM5NS5qcGVnIiwiZWRpdHMiOlt7ImZvcm1hdCI6eyJ0eXBlIjoianBlZyJ9fSx7InJlc2l6ZSI6eyJ3aWR0aCI6NjAwLCJoZWlnaHQiOjYwMH19XX0=,https://www.siriusxm.com/player/channel-linear/entity/dd042955-b3fa-bf2b-6b64-6f08236ed48f
41f8b174-fb06-1707-aaa7-e74e109c2ee9,channel-linear,The Coffee House,17,Music,Pop,"Acoustic, stripped-down songs",https://imgsrv-sxm-prod-device.streaming.siriusxm.com/eyJrZXkiOiJhZW0vMjkvMjkwODhlZTBhYmMyOTlmOTA5Y2JjZDZkOGFiOGVlODZfMTczMjAzOTkzMC5qcGVnIiwiZWRpdHMiOlt7ImZvcm1hdCI6eyJ0eXBlIjoianBlZyJ9fSx7InJlc2l6ZSI6eyJ3aWR0aCI6NjAwLCJoZWlnaHQiOjYwMH19XX0=,https://www.siriusxm.com/player/channel-linear/entity/41f8b174-fb06-1707-aaa7-e74e109c2ee9
20801778-3df2-d607-eab5-e03de0ca7815,channel-linear,The Beatles Channel,18,Music,Rock,"The Fab Four, 24/8",https://imgsrv-sxm-prod-device.streaming.siriusxm.com/eyJrZXkiOiJhZW0vYjUvYjU1YmM4ODI1MDRjZTliNGUwN2YwNDJhOGE1NzJjZGFfMTY5OTM3NTg2Ni5qcGVnIiwiZWRpdHMiOlt7ImZvcm1hdCI6eyJ0eXBlIjoianBlZyJ9fSx7InJlc2l6ZSI6eyJ3aWR0aCI6NjAwLCJoZWlnaHQiOjYwMH19XX0=,https://www.siriusxm.com/player/channel-linear/entity/20801778-3df2-d607-eab5-e03de0ca7815
881c9b1f-e7fd-4637-b87a-0dd06f1831a5,channel-linear,Bob Marley's Tuff Gong,19,Music,Rock,"Bob's hits, family music & more",https://imgsrv-sxm-prod-device.streaming.siriusxm.com/eyJrZXkiOiJhZW0vZTIvZTI3NzVmZmU4NDY3MzkwOTE4NDA4MzI1NmM0ZDVlOGRfMTcyODUxMzgwMS5qcGVnIiwiZWRpdHMiOlt7ImZvcm1hdCI6eyJ0eXBlIjoianBlZyJ9fSx7InJlc2l6ZSI6eyJ3aWR0aCI6NjAwLCJoZWlnaHQiOjYwMH19XX0=,https://www.siriusxm.com/player/channel-linear/entity/881c9b1f-e7fd-4637-b87a-0dd06f1831a5
727fa612-6e53-458e-720d-b662dc974e5d,channel-linear,E Street Radio,20,Music,Rock,"Bruce Springsteen, 24/7",https://imgsrv-sxm-prod-device.streaming.siriusxm.com/eyJrZXkiOiJhZW0vMzQvMzQ4YmFhNWE3YjQ1M2UzZTkwMTdmMzhjMDNjYjEwYTVfMTY5OTM3NTM5Mi5qcGVnIiwiZWRpdHMiOlt7ImZvcm1hdCI6eyJ0eXBlIjoianBlZyJ9fSx7InJlc2l6ZSI6eyJ3aWR0aCI6NjAwLCJoZWlnaHQiOjYwMH19XX0=,https://www.siriusxm.com/player/channel-linear/entity/727fa612-6e53-458e-720d-b662dc974e5d
3b83dc80-5987-6898-e98d-a98012f700c1,channel-linear,Underground Garage,21,Music,Rock,Maximum rock & soul,https://imgsrv-sxm-prod-device.streaming.siriusxm.com/eyJrZXkiOiJhZW0vODIvODJiZWRhZTY4YmY5NTBlN2Q4MzMzM2QwZDY4N2NjZGRfMTY5OTM3NTM3My5qcGVnIiwiZWRpdHMiOlt7ImZvcm1hdCI6eyJ0eXBlIjoianBlZyJ9fSx7InJlc2l6ZSI6eyJ3aWR0aCI6NjAwLCJoZWlnaHQiOjYwMH19XX0=,https://www.siriusxm.com/player/channel-linear/entity/3b83dc80-5987-6898-e98d-a98012f700c1
cdc9bee8-9317-37fa-ec8e-464096670c60,channel-linear,Pearl Jam Radio,22,Music,Rock,Pearl Jam hits & live tracks,https://imgsrv-sxm-prod-device.streaming.siriusxm.com/eyJrZXkiOiJhZW0vNjEvNjEyNGY4MDUxNTc5YWMzZTg5NmU2MGVhMmEwNzhmOTNfMTY5OTQ2MDExNy5qcGVnIiwiZWRpdHMiOlt7ImZvcm1hdCI6eyJ0eXBlIjoianBlZyJ9fSx7InJlc2l6ZSI6eyJ3aWR0aCI6NjAwLCJoZWlnaHQiOjYwMH19XX0=,https://www.siriusxm.com/player/channel-linear/entity/cdc9bee8-9317-37fa-ec8e-464096670c60
067801cb-bb3f-1707-dd21-d77e06bb27c0,channel-linear,Grateful Dead,23,Music,Rock,"Grateful Dead, 24/7",https://imgsrv-sxm-prod-device.streaming.siriusxm.com/eyJrZXkiOiJhZW0vOWUvOWVjNDJlY2VjYjEwMjFhZjczMTE4ZDFkMTczZThkMzZfMTcyMjk2NjEyOC5wbmciLCJlZGl0cyI6W3siZm9ybWF0Ijp7InR5cGUiOiJqcGVnIn19LHsicmVzaXplIjp7IndpZHRoIjo2MDAsImhlaWdodCI6NjAwfX1dfQ==,https://www.siriusxm.com/player/channel-linear/entity/067801cb-bb3f-1707-dd21-d77e06bb27c0
c636d008-7cb0-99eb-7fb7-7c489f862a26,channel-linear,Radio Margaritaville,24,Music,Rock,Escape to Margaritaville,https://imgsrv-sxm-prod-device.streaming.siriusxm.com/eyJrZXkiOiJhZW0vMzcvMzcxNTY3NDVlN2RjMTA0NGM0NGQzOTQ0NTMyNGU1YjJfMTY5OTM3NjIyNS5qcGVnIiwiZWRpdHMiOlt7ImZvcm1hdCI6eyJ0eXBlIjoianBlZyJ9fSx7InJlc2l6ZSI6eyJ3aWR0aCI6NjAwLCJoZWlnaHQiOjYwMH19XX0=,https://www.siriusxm.com/player/channel-linear/entity/c636d008-7cb0-99eb-7fb7-7c489f862a26
7a642de7-c33f-a628-efb2-3d94a829d17b,channel-linear,Classic Rewind,25,Music,Rock,70s/80s classic rock,https://imgsrv-sxm-prod-device.streaming.siriusxm.com/eyJrZXkiOiJhZW0vNjkvNjlkMmMzMmY2MTA3MGZkNDZjNjc0NzRkNWM1MjkzYTJfMTcxNDE1MDczMi5qcGVnIiwiZWRpdHMiOlt7ImZvcm1hdCI6eyJ0eXBlIjoianBlZyJ9fSx7InJlc2l6ZSI6eyJ3aWR0aCI6NjAwLCJoZWlnaHQiOjYwMH19XX0=,https://www.siriusxm.com/player/channel-linear/entity/7a642de7-c33f-a628-efb2-3d94a829d17b
23fc6cc7-6929-6c1b-3279-2bdae66cdd6b,channel-linear,Rock Hits 70s & 80s,25,Music,Rock,70s & 80s Classic Rock,https://imgsrv-sxm-prod-device.streaming.siriusxm.com/eyJrZXkiOiJhZW0vOGUvOGViMDQ3NmVjMTQ0OGUyYzA5NzA4MjdkMDEwYmFkNDBfMTY5OTM3NTkwNy5qcGVnIiwiZWRpdHMiOlt7ImZvcm1hdCI6eyJ0eXBlIjoianBlZyJ9fSx7InJlc2l6ZSI6eyJ3aWR0aCI6NjAwLCJoZWlnaHQiOjYwMH19XX0=,https://www.siriusxm.com/player/channel-linear/entity/23fc6cc7-6929-6c1b-3279-2bdae66cdd6b
aff703b3-1492-c8d7-55de-80a6612c08a3,channel-linear,Classic Rock Hits,26,Music,Rock,60s & 70s classic rock,https://imgsrv-sxm-prod-device.streaming.siriusxm.com/eyJrZXkiOiJhZW0vMzIvMzIwYjc1MmI4NjRiMzhiZjEyZjg3Zjg2NjYzMmQwYmRfMTY5OTM3NjEwNy5qcGVnIiwiZWRpdHMiOlt7ImZvcm1hdCI6eyJ0eXBlIjoianBlZyJ9fSx7InJlc2l6ZSI6eyJ3aWR0aCI6NjAwLCJoZWlnaHQiOjYwMH19XX0=,https://www.siriusxm.com/player/channel-linear/entity/aff703b3-1492-c8d7-55de-80a6612c08a3
5ad8659a-414a-9e26-b973-f5a229d788dd,channel-linear,Classic Vinyl,26,Music,Rock,Early vinyl classic rock,https://imgsrv-sxm-prod-device.streaming.siriusxm.com/eyJrZXkiOiJhZW0vZTgvZThkOGE4YzQ3ZmNjMTc2M2I4YWY1NjIwYTBiNTNmZTRfMTY5OTM3NTI1MC5qcGVnIiwiZWRpdHMiOlt7ImZvcm1hdCI6eyJ0eXBlIjoianBlZyJ9fSx7InJlc2l6ZSI6eyJ3aWR0aCI6NjAwLCJoZWlnaHQiOjYwMH19XX0=,https://www.siriusxm.com/player/channel-linear/entity/5ad8659a-414a-9e26-b973-f5a229d788dd
59b6ed0e-4c39-ec45-f8be-ce1599661ce3,channel-linear,Alt2K,27,Music,Rock,2000s and 2010s alt rock,https://imgsrv-sxm-prod-device.streaming.siriusxm.com/eyJrZXkiOiJhZW0vYzIvYzIzZGEzZmZmMGM3YmVmNjE5ZGFlNjcyOTZlNzAxYjlfMTczMjAzOTkzNy5qcGVnIiwiZWRpdHMiOlt7ImZvcm1hdCI6eyJ0eXBlIjoianBlZyJ9fSx7InJlc2l6ZSI6eyJ3aWR0aCI6NjAwLCJoZWlnaHQiOjYwMH19XX0=,https://www.siriusxm.com/player/channel-linear/entity/59b6ed0e-4c39-ec45-f8be-ce1599661ce3
45bb6109-efe4-33c4-f4f5-6ac03be595f1,channel-linear,Adult Alternative,28,Music,Rock,Classic rock meets new rock,https://imgsrv-sxm-prod-device.streaming.siriusxm.com/eyJrZXkiOiJhZW0vZmEvZmEzMTc2MjcwMTljNjhlMjMwM2Q4ZWVmMGVhYTY3M2ZfMTY5OTM3NTgzNi5qcGVnIiwiZWRpdHMiOlt7ImZvcm1hdCI6eyJ0eXBlIjoianBlZyJ9fSx7InJlc2l6ZSI6eyJ3aWR0aCI6NjAwLCJoZWlnaHQiOjYwMH19XX0=,https://www.siriusxm.com/player/channel-linear/entity/45bb6109-efe4-33c4-f4f5-6ac03be595f1
804a5411-b234-1188-27da-f01197103886,channel-linear,The Spectrum,28,Music,Rock,Classic rock meets new rock,https://imgsrv-sxm-prod-device.streaming.siriusxm.com/eyJrZXkiOiJpZi80ZS80ZTE1NDkzOTM4MTkzNjg0ODFmMmNiMDYyNzNlNDdmM18xNzU2MzQ1MzU5LnBuZyIsImVkaXRzIjpbeyJmb3JtYXQiOnsidHlwZSI6ImpwZWcifX0seyJyZXNpemUiOnsid2lkdGgiOjYwMCwiaGVpZ2h0Ijo2MDB9fV19,https://www.siriusxm.com/player/channel-linear/entity/804a5411-b234-1188-27da-f01197103886
0b5b5f60-dfcf-eba9-1dc6-ec3c909f4541,channel-linear,Phish Radio,29,Music,Rock,"The Phish multiverse, 24/7",https://imgsrv-sxm-prod-device.streaming.siriusxm.com/eyJrZXkiOiJhZW0vNzMvNzMyNDMxYWEzMGEyN2VjMmU2NDJiNTY1NjU1ODA0NDdfMTcxNTYzMTc2OC5qcGVnIiwiZWRpdHMiOlt7ImZvcm1hdCI6eyJ0eXBlIjoianBlZyJ9fSx7InJlc2l6ZSI6eyJ3aWR0aCI6NjAwLCJoZWlnaHQiOjYwMH19XX0=,https://www.siriusxm.com/player/channel-linear/entity/0b5b5f60-dfcf-eba9-1dc6-ec3c909f4541
69e5185d-d218-8fbc-082f-6ea5a16ca4db,channel-linear,Dave Matthews Band Radio,30,Music,Rock,"DMB hits, live tracks & more",https://imgsrv-sxm-prod-device.streaming.siriusxm.com/eyJrZXkiOiJhZW0vNDkvNDk3NjQ4OWI0ZTc4NmU3ZGQxMTBkYzBiYTk5ZDBmNWRfMTY5OTM3NTMzNi5qcGVnIiwiZWRpdHMiOlt7ImZvcm1hdCI6eyJ0eXBlIjoianBlZyJ9fSx7InJlc2l6ZSI6eyJ3aWR0aCI6NjAwLCJoZWlnaHQiOjYwMH19XX0=,https://www.siriusxm.com/player/channel-linear/entity/69e5185d-d218-8fbc-082f-6ea5a16ca4db
