seed_entity_id,seed_entity_type,seed_entity_name,entity_id_array
42f88a7f-0cc5-437c-bdd3-748687a7b153,genre,Focus,"[{""entity_id"":""f9227748-d27b-0bff-6efb-684024c9f555"",""entity_type"":""channel-xtra"",""score"":1.0,""entity_name"":""Chill Instrumental""},{""entity_id"":""a7f81827-6d67-d778-e354-0ca68d1d7ec7"",""entity_type"":""channel-xtra"",""score"":1.0,""entity_name"":""Classical Studyscape""}]"
52151af9-8314-441d-a39e-e9d941e726d7,genre,Hard Rock & Metal,"[{""entity_id"":""0fed9647-cc82-24d7-526d-98762e8a52cd"",""entity_type"":""channel-linear"",""score"":1.0,""entity_name"":""Octane""},{""entity_id"":""b8b47809-4e8e-f556-8325-bd45fa3d4dc4"",""entity_type"":""channel-linear"",""score"":1.0,""entity_name"":""Hair Nation""},{""entity_id"":""fed8de31-8d51-8949-6c69-2035fb0485b0"",""entity_type"":""channel-linear"",""score"":1.0,""entity_name"":""Ozzy's Boneyard""},{""entity_id"":""f936a498-89c7-bc15-f158-19a015db0683"",""entity_type"":""channel-linear"",""score"":0.7552702478859424,""entity_name"":""SiriusXM Turbo""},{""entity_id"":""35b0a4e3-b63d-b68e-4c34-6462579a8721"",""entity_type"":""channel-linear"",""score"":0.5224919194461976,""entity_name"":""Maximum Metallica""}]"
53e4aa09-ced2-425f-85ba-b5071fd151fc,genre,90s,"[{""entity_id"":""32566352-8e68-80f8-fe11-3f9715b63876"",""entity_type"":""channel-linear"",""score"":1.0,""entity_name"":""Prime Country""},{""entity_id"":""44f9129f-579a-3d23-218f-3c3518036fc6"",""entity_type"":""channel-linear"",""score"":1.0,""entity_name"":""PopRocks""},{""entity_id"":""32c4747f-8739-d578-62d8-08a92d518445"",""entity_type"":""channel-linear"",""score"":0.9828662364555038,""entity_name"":""Lithium""},{""entity_id"":""f936a498-89c7-bc15-f158-19a015db0683"",""entity_type"":""channel-linear"",""score"":0.8914319624278225,""entity_name"":""SiriusXM Turbo""},{""entity_id"":""c9256031-1123-f35f-4d49-1ba4d5379258"",""entity_type"":""channel-linear"",""score"":0.5147555646164337,""entity_name"":""90s on 9""}]"
56e650c5-122e-4a7e-9329-ecbd8a3be5be,genre,Happy,"[{""entity_id"":""ce813fad-3e16-1a11-482d-f844cb03d28e"",""entity_type"":""channel-xtra"",""score"":1.0,""entity_name"":""Happy Rock""},{""entity_id"":""c3a5817f-5659-8f3c-e9e1-09a41670036f"",""entity_type"":""channel-xtra"",""score"":0.9895280417116175,""entity_name"":""Happy Oldies""},{""entity_id"":""e036602a-d2c1-6008-76a6-61594ef6e957"",""entity_type"":""channel-xtra"",""score"":0.8818205505498663,""entity_name"":""Happy Country""},{""entity_id"":""8a856b66-5375-3783-4562-16defed519c6"",""entity_type"":""channel-xtra"",""score"":0.7151291487958279,""entity_name"":""Happy Radio""}]"
6404c339-d813-4045-abfb-f6f9b7a30a68,genre,Pop,"[{""entity_id"":""9150cc82-af5c-3be3-d170-0e81d87375a8"",""entity_type"":""channel-linear"",""score"":1.0,""entity_name"":""Yacht Rock Radio""},{""entity_id"":""95d4d8ef-55e4-8337-78f1-2fda944991d8"",""entity_type"":""channel-linear"",""score"":1.0,""entity_name"":""70s on 7""},{""entity_id"":""1898923d-071d-0abd-1a62-ed0d2702d4f1"",""entity_type"":""channel-linear"",""score"":1.0,""entity_name"":""The Bridge""},{""entity_id"":""2ea07147-a720-ed0c-d4ce-d7bddd1640d3"",""entity_type"":""channel-linear"",""score"":0.9854633124737029,""entity_name"":""80s on 8""},{""entity_id"":""6567f2ee-4d7a-cd6d-3402-55ed6089cd0c"",""entity_type"":""channel-linear"",""score"":0.8791643383393296,""entity_name"":""60s Gold""}]"
660eb821-c4f9-46a5-9bc6-ca55ea9a835f,genre,Relax,"[{""entity_id"":""520a1947-75fe-5464-fad2-75893c97ad15"",""entity_type"":""channel-xtra"",""score"":1.0,""entity_name"":""Acoustic Guitar Instrumentals""},{""entity_id"":""1898923d-071d-0abd-1a62-ed0d2702d4f1"",""entity_type"":""channel-linear"",""score"":1.0,""entity_name"":""The Bridge""},{""entity_id"":""9150cc82-af5c-3be3-d170-0e81d87375a8"",""entity_type"":""channel-linear"",""score"":1.0,""entity_name"":""Yacht Rock Radio""},{""entity_id"":""bda81f03-f231-d4db-56ad-40cb132c5663"",""entity_type"":""channel-linear"",""score"":0.762154681718078,""entity_name"":""The Blend""}]"
6ba0d57b-07f0-4f05-a2d8-740fcac32ff8,genre,Family & Kids,"[{""entity_id"":""95cf8bf1-fc4e-76b9-ac2a-617dca0325e7"",""entity_type"":""channel-linear"",""score"":1.0,""entity_name"":""Disney Hits""},{""entity_id"":""d8a071ae-c656-bbdb-a4ec-cbc1d71b2740"",""entity_type"":""channel-linear"",""score"":0.5351009183888652,""entity_name"":""KIDZ BOP Radio""}]"
6bdecae4-c0e6-4447-a26a-f80c9f34b29f,genre,Dance & Electronic,"[{""entity_id"":""834383dd-9a7e-d59e-81a2-dd13e0377af2"",""entity_type"":""channel-linear"",""score"":1.0,""entity_name"":""SiriusXM Chill""},{""entity_id"":""6adef1b5-d812-9c10-7c6c-f05af4e27077"",""entity_type"":""channel-linear"",""score"":0.6932633596939359,""entity_name"":""BPM""}]"
769576b0-97c6-4b74-9979-1c35c34619c5,genre,Sleep,"[{""entity_id"":""269497e4-7f91-377d-0940-6b9f027b5b3b"",""entity_type"":""channel-xtra"",""score"":1.0,""entity_name"":""The Sleep Channel""},{""entity_id"":""906e5792-c7fe-5ea8-90f0-002dcfaa34fe"",""entity_type"":""channel-xtra"",""score"":0.41430705549053,""entity_name"":""Classical for Sleep""}]"
7b4103be-57b9-4c22-9e79-e20659bb5542,genre,Classic Rock,"[{""entity_id"":""7a642de7-c33f-a628-efb2-3d94a829d17b"",""entity_type"":""channel-linear"",""score"":1.0,""entity_name"":""Classic Rewind""},{""entity_id"":""1898923d-071d-0abd-1a62-ed0d2702d4f1"",""entity_type"":""channel-linear"",""score"":0.8415411345965009,""entity_name"":""The Bridge""},{""entity_id"":""9150cc82-af5c-3be3-d170-0e81d87375a8"",""entity_type"":""channel-linear"",""score"":0.805540160114416,""entity_name"":""Yacht Rock Radio""},{""entity_id"":""5ad8659a-414a-9e26-b973-f5a229d788dd"",""entity_type"":""channel-linear"",""score"":0.7713560676034099,""entity_name"":""Classic Vinyl""}]"
80200e3f-1c13-41e7-8ed4-0c517f37fef9,genre,Country,"[{""entity_id"":""ffd94bb6-5368-67ae-91be-5b2bababeca0"",""entity_type"":""channel-linear"",""score"":1.0,""entity_name"":""The Highway""},{""entity_id"":""d3253c66-e1e1-331b-02e6-71580c33791b"",""entity_type"":""channel-linear"",""score"":0.3969039992588005,""entity_name"":""Y2Kountry""}]"
8c124dc1-d4ec-4e78-87f5-f4c9124f3afe,genre,Today's Hits,"[{""entity_id"":""ffd94bb6-5368-67ae-91be-5b2bababeca0"",""entity_type"":""channel-linear"",""score"":1.0,""entity_name"":""The Highway""},{""entity_id"":""c2e3e686-93a6-5d22-c818-6d8ea63bcc7c"",""entity_type"":""channel-linear"",""score"":0.45440925348536837,""entity_name"":""The Message""}]"
93722e6d-ca40-4714-8a17-da27b9981794,genre,Workout,"[{""entity_id"":""4764f6a7-71ec-f20c-bc8f-3ccb75776fba"",""entity_type"":""channel-xtra"",""score"":1.0,""entity_name"":""Classic Rock Workout""},{""entity_id"":""6c535597-8e2b-5b54-968a-10cad277f43b"",""entity_type"":""channel-linear"",""score"":0.5821306444641181,""entity_name"":""SoulCycle Radio""},{""entity_id"":""3bf1a125-c0a3-e164-4910-638175ad698d"",""entity_type"":""channel-xtra"",""score"":0.5780187376230386,""entity_name"":""Turbo Workout""}]"
9abff2e5-762a-44fb-a683-2773b899ca5d,genre,News & Politics,"[{""entity_id"":""5f8894e9-d615-21d0-a114-ecd08e7fa75c"",""entity_type"":""channel-linear"",""score"":1.0,""entity_name"":""FOX News Channel""},{""entity_id"":""95bffee3-e903-ca28-6332-1b94f41a8962"",""entity_type"":""channel-linear"",""score"":0.3798705394529924,""entity_name"":""MS NOW""}]"
9adc7a68-1299-4fb5-a98d-1c59ec63f8c8,genre,70s,"[{""entity_id"":""1898923d-071d-0abd-1a62-ed0d2702d4f1"",""entity_type"":""channel-linear"",""score"":1.0,""entity_name"":""The Bridge""},{""entity_id"":""5ad8659a-414a-9e26-b973-f5a229d788dd"",""entity_type"":""channel-linear"",""score"":1.0,""entity_name"":""Classic Vinyl""},{""entity_id"":""95d4d8ef-55e4-8337-78f1-2fda944991d8"",""entity_type"":""channel-linear"",""score"":1.0,""entity_name"":""70s on 7""},{""entity_id"":""9150cc82-af5c-3be3-d170-0e81d87375a8"",""entity_type"":""channel-linear"",""score"":1.0,""entity_name"":""Yacht Rock Radio""},{""entity_id"":""bda81f03-f231-d4db-56ad-40cb132c5663"",""entity_type"":""channel-linear"",""score"":0.7712975123734368,""entity_name"":""The Blend""}]"
b92eb966-b242-479c-92a4-3aa222c52871,genre,80s,"[{""entity_id"":""7a642de7-c33f-a628-efb2-3d94a829d17b"",""entity_type"":""channel-linear"",""score"":1.0,""entity_name"":""Classic Rewind""},{""entity_id"":""9150cc82-af5c-3be3-d170-0e81d87375a8"",""entity_type"":""channel-linear"",""score"":0.805540160114416,""entity_name"":""Yacht Rock Radio""},{""entity_id"":""2ea07147-a720-ed0c-d4ce-d7bddd1640d3"",""entity_type"":""channel-linear"",""score"":0.7983108071136599,""entity_name"":""80s on 8""},{""entity_id"":""32566352-8e68-80f8-fe11-3f9715b63876"",""entity_type"":""channel-linear"",""score"":0.6886751307945397,""entity_name"":""Prime Country""},{""entity_id"":""bda81f03-f231-d4db-56ad-40cb132c5663"",""entity_type"":""channel-linear"",""score"":0.6301907072822488,""entity_name"":""The Blend""}]"
c39c25bc-60d8-4289-9e08-dd6137b76b64,genre,True Crime,"[{""entity_id"":""b603ee62-cf5b-bbb5-1abf-e7169adf25aa"",""entity_type"":""channel-linear"",""score"":1.0,""entity_name"":""Dateline 24/7""},{""entity_id"":""168f7e19-b4a0-0cce-46b5-54d7f127e7e7"",""entity_type"":""channel-linear"",""score"":0.15147842198360875,""entity_name"":""Crime Junkie Radio""}]"
c57eefe8-55e9-43c2-9e64-517fcd0585f6,genre,Standards,"[{""entity_id"":""38dccb7c-6e3c-1473-d0db-0b3b8b999707"",""entity_type"":""channel-linear"",""score"":1.0,""entity_name"":""Siriusly Sinatra""},{""entity_id"":""3a7d57c7-1241-38bf-0aca-e4e82462fa4e"",""entity_type"":""channel-xtra"",""score"":0.3041541791490196,""entity_name"":""Perfectly Frank""}]"
c7c68b4e-f482-4ec8-abaa-874acca0ad8d,genre,60s,"[{""entity_id"":""6567f2ee-4d7a-cd6d-3402-55ed6089cd0c"",""entity_type"":""channel-linear"",""score"":1.0,""entity_name"":""60s Gold""},{""entity_id"":""5ad8659a-414a-9e26-b973-f5a229d788dd"",""entity_type"":""channel-linear"",""score"":1.0,""entity_name"":""Classic Vinyl""},{""entity_id"":""0aee72ed-5dd8-2848-3567-d8809e123cd1"",""entity_type"":""channel-linear"",""score"":0.5980648302590711,""entity_name"":""Willie's Roadhouse""}]"
d14b1f14-5b1c-44fe-b7bd-65e9614d7fb8,genre,Party,"[{""entity_id"":""2d926e91-aa32-4e53-85e5-d444870eff11"",""entity_type"":""channel-linear"",""score"":1.0,""entity_name"":""Classic Rock Party""},{""entity_id"":""ba107a8d-fb2d-571e-1894-f6ea03ed318a"",""entity_type"":""channel-linear"",""score"":1.0,""entity_name"":""Holly""},{""entity_id"":""33794a0f-2a24-08bb-492e-12e441fab2f0"",""entity_type"":""channel-linear"",""score"":1.0,""entity_name"":""Holiday Traditions""},{""entity_id"":""64bcf553-6ef6-f38e-d31c-c46a0a37a7ba"",""entity_type"":""channel-xtra"",""score"":0.542612023223814,""entity_name"":""Hair Nation Party""},{""entity_id"":""3d422eeb-9d32-9bef-a139-31209737d67a"",""entity_type"":""channel-xtra"",""score"":0.5178480792515314,""entity_name"":""80s on 8 Party""}]"
e2c2153a-3bcc-4ebf-999c-7346014c0b8a,genre,Christian,"[{""entity_id"":""c2e3e686-93a6-5d22-c818-6d8ea63bcc7c"",""entity_type"":""channel-linear"",""score"":1.0,""entity_name"":""The Message""},{""entity_id"":""e4fe4bca-1af8-bf9e-c20b-813f204aa18e"",""entity_type"":""channel-linear"",""score"":0.47257713874338014,""entity_name"":""Kirk Franklin's Praise""}]"
efc6c8ef-3722-46d4-9f02-bdd243b26dc8,genre,Religious Music & Talk,"[{""entity_id"":""a078936b-043a-868c-3def-233ac0e49853"",""entity_type"":""channel-linear"",""score"":1.0,""entity_name"":""Family Talk""},{""entity_id"":""88c59be1-adab-d9c1-ee63-05fdef54f094"",""entity_type"":""channel-linear"",""score"":0.8365118084436954,""entity_name"":""The Catholic Channel""},{""entity_id"":""2692983c-1779-bca2-800c-76b8dd988ae8"",""entity_type"":""channel-linear"",""score"":0.681117885414476,""entity_name"":""EWTN Radio""},{""entity_id"":""9f8d08b0-f6cb-b41f-e8ac-24990bd5352c"",""entity_type"":""channel-linear"",""score"":0.5974174985129425,""entity_name"":""The Billy Graham Channel""}]"
f0908966-ea6e-44ca-8928-a1d390a7f443,genre,Stage & Screen,"[{""entity_id"":""95cf8bf1-fc4e-76b9-ac2a-617dca0325e7"",""entity_type"":""channel-linear"",""score"":1.0,""entity_name"":""Disney Hits""}]"
f15279ab-4f1c-4bea-83e9-3e27a09eaa42,genre,Jazz,"[{""entity_id"":""e4b5402c-c608-db84-ad15-4bc8e2cdccce"",""entity_type"":""channel-linear"",""score"":1.0,""entity_name"":""Watercolors""},{""entity_id"":""38dccb7c-6e3c-1473-d0db-0b3b8b999707"",""entity_type"":""channel-linear"",""score"":0.2776655343591724,""entity_name"":""Siriusly Sinatra""}]"
fa3bd237-8755-487c-8ef2-fd23130a8bcf,genre,Pop Culture,"[{""entity_id"":""123f7d39-c99f-2f01-7900-0d4b8b010cb7"",""entity_type"":""channel-linear"",""score"":1.0,""entity_name"":""Howard 100""},{""entity_id"":""56605cc5-88b8-557b-fc3c-dae7eb41bf56"",""entity_type"":""channel-linear"",""score"":0.24996661670054765,""entity_name"":""Radio Andy""}]"
fc63da33-29ef-43e4-b4fe-896e31bc9096,genre,K-Pop,"[{""entity_id"":""b96d76d6-935a-3b90-c22d-e0bc7ba11543"",""entity_type"":""channel-linear"",""score"":1.0,""entity_name"":""SiriusXM K-Pop""},{""entity_id"":""bffe40f0-1688-dbba-e420-ef894d49d17d"",""entity_type"":""channel-linear"",""score"":1.0,""entity_name"":""BTS Radio""}]"
