profile_id,teams_entity_id_array
6a0ca983-df82-4a0e-b012-9e62c498327b,"[{""entity_id"":""5ffce8f6-c36b-7cb7-f6eb-cc42854c3f43"",""entity_type"":""team"",""name"":""San Francisco Giants""}]"
6ab6b763-b857-4b6d-9696-fb3f18c2d348,"[{""entity_id"":""7615dc21-d30a-979d-c235-a2f34ea9455f"",""entity_type"":""team"",""name"":""Washington Commanders""},{""entity_id"":""6e047a95-fdeb-dca9-8282-0660319bf429"",""entity_type"":""team"",""name"":""Washington Nationals""}]"
6eaa48b6-5ef2-46f5-80fe-da25a7d02060,"[{""entity_id"":""046ec1b0-8664-3c0d-37ab-426b43113099"",""entity_type"":""team"",""name"":""Denver Broncos""},{""entity_id"":""59b68db0-3ae1-41bf-08f4-9775658eb47b"",""entity_type"":""team"",""name"":""Colorado Avalanche""},{""entity_id"":""39804554-78de-e038-0687-6f4793987860"",""entity_type"":""team"",""name"":""Los Angeles Dodgers""},{""entity_id"":""6a0612c5-4317-b473-a6f6-7f56474521b1"",""entity_type"":""team"",""name"":""Denver Nuggets""}]"
7165ab6f-d9cb-4593-a98e-4b132a26118c,"[{""entity_id"":""b59aecfd-ec56-d90f-176b-c88a656bd4c3"",""entity_type"":""team"",""name"":""New York Mets""},{""entity_id"":""36ab4f33-6c0f-243f-997b-aaac7bb32971"",""entity_type"":""team"",""name"":""Brooklyn Nets""}]"
98a025fc-8cbb-4a8f-8906-46afc2128f04,"[{""entity_id"":""b59aecfd-ec56-d90f-176b-c88a656bd4c3"",""entity_type"":""team"",""name"":""New York Mets""},{""entity_id"":""668fcd9d-b8ab-3990-35c6-c0a2b16ccccd"",""entity_type"":""team"",""name"":""Toronto Maple Leafs""},{""entity_id"":""7ddf6560-1fb1-e63e-dc77-4cc9f1cd6c16"",""entity_type"":""team"",""name"":""Miami Dolphins""}]"
a9bd4745-fd4f-4a67-9f9f-a3052effcef1,"[{""entity_id"":""a66b67f9-5408-675e-9e02-3db1dd029b4d"",""entity_type"":""team"",""name"":""New York Knicks""}]"
b6980db1-eb15-4d76-b093-3164cae305c1,"[{""entity_id"":""cf3bd921-c50f-f370-26e8-a011fcaefafa"",""entity_type"":""team"",""name"":""Boston Red Sox""},{""entity_id"":""e407e3c3-0bba-3197-74cc-4bea015df657"",""entity_type"":""team"",""name"":""Boston Celtics""},{""entity_id"":""7ddf6560-1fb1-e63e-dc77-4cc9f1cd6c16"",""entity_type"":""team"",""name"":""Miami Dolphins""},{""entity_id"":""8cb5adc6-0da9-702f-0f64-4f6be2f3b2c6"",""entity_type"":""team"",""name"":""Philadelphia Flyers""}]"
ba911675-8c5c-4f1b-aec4-9a985758cfae,"[{""entity_id"":""c969c747-76d3-f98e-f1d9-593f5ac7c681"",""entity_type"":""team"",""name"":""Dallas Cowboys""}]"
cffb74b8-3fde-499c-9672-5d06ddae65b4,"[{""entity_id"":""0fbd1a7d-1ca6-1e0f-3eca-6d5cc87b9d58"",""entity_type"":""team"",""name"":""Utah Mammoth""},{""entity_id"":""668fcd9d-b8ab-3990-35c6-c0a2b16ccccd"",""entity_type"":""team"",""name"":""Toronto Maple Leafs""},{""entity_id"":""e407e3c3-0bba-3197-74cc-4bea015df657"",""entity_type"":""team"",""name"":""Boston Celtics""},{""entity_id"":""a241f6cd-c540-ef5c-368a-279aaee2b40a"",""entity_type"":""team"",""name"":""Winnipeg Jets""},{""entity_id"":""cfdf4169-f0c8-e8ff-93cf-24da9f6354c8"",""entity_type"":""team"",""name"":""Calgary Flames""},{""entity_id"":""511ffd5e-d846-2c34-4ba8-3fcbea63b012"",""entity_type"":""team"",""name"":""Edmonton Oilers""},{""entity_id"":""cf3bd921-c50f-f370-26e8-a011fcaefafa"",""entity_type"":""team"",""name"":""Boston Red Sox""},{""entity_id"":""8b1dc0e6-e12e-79ab-401a-a775b638e116"",""entity_type"":""team"",""name"":""Boston Bruins""},{""entity_id"":""e092eb32-b4ae-039e-f4d7-311563300f31"",""entity_type"":""team"",""name"":""Montreal Canadiens""},{""entity_id"":""73ba0cc6-4b58-8efb-7ac2-93bff4f28771"",""entity_type"":""team"",""name"":""Minnesota Wild""}]"
cffe2c03-1ddf-4120-a553-6cd67eb9d356,"[{""entity_id"":""d0017b49-eaa2-232d-35e4-939ec3b1d890"",""entity_type"":""team"",""name"":""Cleveland Cavaliers""},{""entity_id"":""81d5f7bf-9507-46f4-4e2b-92f34e57b0a1"",""entity_type"":""team"",""name"":""Cleveland Guardians""},{""entity_id"":""c686b643-67e9-551f-d099-431601d310a7"",""entity_type"":""team"",""name"":""Cleveland Browns""}]"
d27bb998-6e3e-4665-887c-0a71083a89e5,"[{""entity_id"":""e407e3c3-0bba-3197-74cc-4bea015df657"",""entity_type"":""team"",""name"":""Boston Celtics""},{""entity_id"":""53e1df98-119f-1a68-f8c3-5b3efefbcc99"",""entity_type"":""team"",""name"":""New England Patriots""},{""entity_id"":""cf3bd921-c50f-f370-26e8-a011fcaefafa"",""entity_type"":""team"",""name"":""Boston Red Sox""},{""entity_id"":""8b1dc0e6-e12e-79ab-401a-a775b638e116"",""entity_type"":""team"",""name"":""Boston Bruins""}]"
d6bd147e-3f9a-479d-98c6-ff3ed8ee9a26,"[{""entity_id"":""16949228-e1df-2956-db88-40cd607151b9"",""entity_type"":""team"",""name"":""Tampa Bay Rays""},{""entity_id"":""50046b11-621b-aabf-2162-c496ae322838"",""entity_type"":""team"",""name"":""Tampa Bay Buccaneers""},{""entity_id"":""649dff91-479a-24fc-4c44-216facb44a69"",""entity_type"":""team"",""name"":""Tampa Bay Lightning""}]"
db8b7cbc-41ea-40ae-9d29-463ff1fccfad,"[{""entity_id"":""36ab4f33-6c0f-243f-997b-aaac7bb32971"",""entity_type"":""team"",""name"":""Brooklyn Nets""},{""entity_id"":""1123c1f1-4237-da4f-045f-b5f72567483e"",""entity_type"":""team"",""name"":""Buffalo Sabres""},{""entity_id"":""b59aecfd-ec56-d90f-176b-c88a656bd4c3"",""entity_type"":""team"",""name"":""New York Mets""},{""entity_id"":""7fe910b6-b3d4-a68e-58ba-97d41dc3d5b8"",""entity_type"":""team"",""name"":""Buffalo Bills""}]"
df3c33d7-d83a-422e-a260-2069a0704b00,"[{""entity_id"":""930b5a53-ab5f-f5ec-ee59-51123ffd3ce5"",""entity_type"":""team"",""name"":""San Antonio Spurs""},{""entity_id"":""ff84fb0e-0bc9-eebe-4f58-78aeb678613c"",""entity_type"":""team"",""name"":""Chicago Bulls""}]"
e5174632-aade-4a9c-8c66-b0e28df10c3b,"[{""entity_id"":""b59aecfd-ec56-d90f-176b-c88a656bd4c3"",""entity_type"":""team"",""name"":""New York Mets""}]"
f5d00f12-11ea-4785-8962-e522d926ad65,"[{""entity_id"":""aa8d0519-1078-0a55-7dc4-a37f183f1a68"",""entity_type"":""team"",""name"":""Baltimore Orioles""}]"
f6eb2fa1-4708-4560-b2a8-f8c386f65d8f,"[{""entity_id"":""f2ed6494-a199-925e-30e5-061a7f070683"",""entity_type"":""team"",""name"":""Golden State Warriors""}]"
f782369b-554e-4351-bf3c-08115e347537,"[{""entity_id"":""5ffce8f6-c36b-7cb7-f6eb-cc42854c3f43"",""entity_type"":""team"",""name"":""San Francisco Giants""}]"
ff5e2241-2a00-450b-aa08-270eb4ae215c,"[{""entity_id"":""1ba227eb-9d96-5175-a2f7-26efbfdeb99a"",""entity_type"":""team"",""name"":""Detroit Lions""},{""entity_id"":""7e38ac2d-7dc0-ee55-3109-d9d27fdc6787"",""entity_type"":""team"",""name"":""Detroit Red Wings""}]"
